study_id,composition,leadership,review
311,,,no_doi
312,all_african,yes,
313,,,no_doi
314,none,no,
315,mixed,no,
316,mixed,yes,
317,none,no,some_authors_unaffiliated
318,mixed,yes,
319,all_african,yes,some_authors_unaffiliated
320,all_african,yes,
321,,,no_affiliations
322,all_african,yes,some_authors_unaffiliated
323,mixed,no,
324,all_african,yes,
325,,,no_affiliations
326,all_african,yes,
327,all_african,yes,some_authors_unaffiliated
328,,,not_in_openalex
329,all_african,yes,
330,all_african,yes,
331,,,no_doi
332,all_african,yes,some_authors_unaffiliated
333,,,no_doi
334,,,no_doi
335,,,no_doi
336,all_african,yes,
337,,,no_doi
338,mixed,yes,
339,mixed,yes,
340,mixed,no,
341,mixed,yes,
342,all_african,yes,
343,all_african,yes,
344,all_african,yes,
345,mixed,yes,
346,none,no,
347,all_african,yes,
348,none,no,some_authors_unaffiliated
349,all_african,yes,
350,all_african,yes,
351,mixed,yes,
352,none,no,
353,all_african,yes,
354,all_african,yes,
355,mixed,yes,
356,,,no_doi
357,all_african,yes,
358,mixed,yes,
359,mixed,yes,some_authors_unaffiliated
360,all_african,yes,
361,all_african,yes,
362,,,no_doi
363,mixed,yes,
364,mixed,yes,
365,,,no_doi
366,all_african,yes,
367,all_african,yes,
368,mixed,no,
369,none,no,
370,none,no,some_authors_unaffiliated
371,,,no_doi
372,all_african,yes,
373,mixed,yes,some_authors_unaffiliated
374,all_african,yes,
375,all_african,yes,some_authors_unaffiliated
376,mixed,no,some_authors_unaffiliated
377,all_african,yes,
378,none,no,
379,all_african,yes,
380,none,no,
381,mixed,no,
382,all_african,yes,
383,none,no,
384,all_african,yes,
385,all_african,yes,
386,all_african,yes,
387,mixed,yes,
388,none,no,
389,all_african,yes,
390,all_african,yes,
391,none,no,
392,all_african,yes,
393,none,no,
394,mixed,no,
395,all_african,yes,
396,all_african,yes,
397,mixed,yes,
398,all_african,yes,
399,all_african,yes,
400,all_african,yes,
401,all_african,yes,
402,mixed,yes,
403,,,no_doi
404,all_african,yes,
405,mixed,no,
406,none,no,
407,none,no,some_authors_unaffiliated
408,mixed,yes,
409,,,no_affiliations
410,mixed,yes,
411,all_african,yes,some_authors_unaffiliated
412,mixed,yes,
413,none,no,some_authors_unaffiliated
414,mixed,no,
415,,,no_doi
416,,,no_doi
417,all_african,yes,
418,all_african,yes,
419,none,no,
420,all_african,yes,
421,all_african,yes,
422,all_african,yes,some_authors_unaffiliated
423,all_african,yes,
424,,,no_doi
425,,,no_affiliations
426,all_african,yes,
427,all_african,yes,
428,mixed,yes,
429,mixed,yes,
430,all_african,yes,
431,all_african,yes,
432,all_african,yes,some_authors_unaffiliated
433,,,no_affiliations
434,all_african,yes,
435,,,no_doi
436,mixed,yes,
437,all_african,yes,
438,all_african,yes,
439,all_african,yes,
440,none,no,
441,,,no_affiliations
442,all_african,yes,
443,,,no_affiliations
444,all_african,yes,
445,all_african,yes,
446,mixed,yes,
447,,,no_doi
448,mixed,yes,
449,mixed,yes,some_authors_unaffiliated
450,mixed,yes,
451,all_african,yes,
452,all_african,yes,
453,mixed,yes,
454,all_african,yes,
455,all_african,yes,
456,mixed,no,
457,all_african,yes,
458,all_african,yes,
459,none,no,some_authors_unaffiliated
460,all_african,yes,some_authors_unaffiliated
461,all_african,yes,
462,,,no_doi
463,mixed,yes,
464,all_african,yes,
465,mixed,yes,some_authors_unaffiliated
466,mixed,yes,
467,none,no,
468,all_african,yes,
469,none,no,
470,none,no,
471,,,no_affiliations
472,mixed,no,
473,mixed,yes,
474,none,no,
475,mixed,yes,
476,,,no_affiliations
477,mixed,yes,
478,none,no,some_authors_unaffiliated
479,none,no,
480,mixed,yes,
481,mixed,yes,
482,all_african,yes,
483,all_african,yes,
484,none,no,some_authors_unaffiliated
485,all_african,yes,
486,all_african,yes,
487,all_african,no,some_authors_unaffiliated
488,all_african,yes,
489,,,no_doi
490,all_african,yes,
491,,,no_affiliations
492,none,no,
493,,,no_doi
494,all_african,yes,
495,,,no_doi
496,mixed,no,
497,none,no,
498,none,no,
499,all_african,yes,
500,all_african,yes,
501,all_african,yes,
502,all_african,yes,
503,mixed,yes,
504,mixed,yes,some_authors_unaffiliated
505,all_african,yes,
506,none,no,
507,none,no,
508,mixed,no,
509,,,no_affiliations
510,none,no,
511,mixed,yes,
512,,,no_affiliations
513,mixed,no,some_authors_unaffiliated
514,all_african,yes,
515,,,no_affiliations
516,all_african,yes,
517,,,no_doi
518,,,no_doi
519,,,no_doi
520,none,no,
521,none,no,
522,all_african,yes,
523,mixed,yes,
524,mixed,no,
525,all_african,yes,
526,mixed,yes,some_authors_unaffiliated
527,all_african,yes,
528,mixed,yes,
529,,,no_doi
530,,,no_doi
531,,,no_doi
532,none,no,
533,,,no_doi
534,,,no_affiliations
535,mixed,yes,
536,none,no,
537,none,no,
538,none,no,some_authors_unaffiliated
539,all_african,yes,
540,mixed,no,
541,none,no,
542,,,no_doi
543,mixed,no,some_authors_unaffiliated
544,none,no,
545,mixed,yes,
546,all_african,yes,
547,,,no_doi
548,mixed,no,
549,none,no,some_authors_unaffiliated
550,all_african,yes,
551,all_african,yes,
552,mixed,no,some_authors_unaffiliated
553,none,no,
554,all_african,yes,
555,all_african,yes,
556,mixed,no,
557,,,no_affiliations
558,mixed,yes,
559,none,no,
560,all_african,yes,some_authors_unaffiliated
561,,,no_affiliations
562,all_african,yes,
563,,,no_affiliations
564,,,no_doi
565,,,no_doi
566,mixed,yes,
567,,,no_doi
568,none,no,
569,none,no,some_authors_unaffiliated
570,all_african,yes,
571,none,no,
572,,,no_doi
573,none,no,
574,,,not_in_openalex
575,mixed,yes,
576,none,no,
577,all_african,yes,
578,all_african,yes,
579,all_african,yes,some_authors_unaffiliated
580,all_african,no,some_authors_unaffiliated
581,all_african,yes,
582,none,no,
583,all_african,yes,some_authors_unaffiliated
584,mixed,no,
585,all_african,yes,
586,none,no,
587,mixed,yes,
588,mixed,yes,
589,none,no,some_authors_unaffiliated
590,all_african,yes,
591,none,no,
592,none,no,
593,none,no,
594,mixed,no,
595,none,no,
596,mixed,yes,some_authors_unaffiliated
597,all_african,yes,
598,mixed,yes,
599,mixed,no,
600,none,no,
601,none,no,
602,all_african,yes,
603,none,no,
604,all_african,yes,some_authors_unaffiliated
605,none,no,some_authors_unaffiliated
606,all_african,yes,
607,all_african,yes,
608,mixed,yes,
609,all_african,yes,
610,all_african,yes,
611,all_african,yes,
612,,,no_affiliations
613,mixed,no,
614,all_african,yes,
615,mixed,yes,
616,mixed,yes,
617,mixed,yes,
618,none,no,some_authors_unaffiliated
619,mixed,yes,
620,none,no,
621,mixed,yes,
622,none,no,
623,mixed,no,
624,none,no,some_authors_unaffiliated
625,mixed,no,
626,mixed,yes,
627,none,no,
628,none,no,
629,,,no_affiliations
630,none,no,
631,mixed,yes,
632,,,no_doi
633,none,no,some_authors_unaffiliated
634,all_african,yes,
635,none,no,
636,,,no_doi
637,all_african,yes,
638,none,no,
